search_ts,provider,origin,destination,departure_date,return_date,passengers,airline_code,airline_name,flight_number,dep_at,arr_at,stops_out,stops_return,duration_minutes,price_amount,currency,fx_rate,price_usd,signature
2026-09-26T14:58:45.117379+00:00,serpapi,SJU,MIA,2026-10-26,2026-11-02,1,F9,Frontier,2383,2026-10-26T03:04:00,2026-10-26T05:55:00,0,0,171,118.0,USD,1.0,118.0,123322fb80d1648c
2026-09-26T14:58:45.117379+00:00,serpapi,SJU,MIA,2026-10-26,2026-11-02,1,AA,American,1251,2026-10-26T06:30:00,2026-10-26T09:24:00,0,0,174,267.0,USD,1.0,267.0,13ef14ea3efd6e48
2026-09-26T14:58:45.117379+00:00,serpapi,SJU,MIA,2026-10-26,2026-11-02,1,AA,American,1341,2026-10-26T12:21:00,2026-10-26T15:13:00,0,0,172,262.0,USD,1.0,262.0,32d30abf51b9e9cb
2026-09-26T14:58:45.117379+00:00,serpapi,SJU,MIA,2026-10-26,2026-11-02,1,WN,Southwest,3859,2026-10-26T06:30:00,2026-10-26T11:50:00,1,0,320,403.0,USD,1.0,403.0,89018dccc2e2cc89
2026-09-26T14:58:45.117379+00:00,serpapi,SJU,MIA,2026-10-26,2026-11-02,1,F9,Frontier,2283,2026-10-26T11:54:00,2026-10-26T14:45:00,0,0,171,140.0,USD,1.0,140.0,985e5cd8b6277a6b
2026-09-26T14:58:45.117379+00:00,serpapi,SJU,MIA,2026-10-26,2026-11-02,1,AA,American,3228,2026-10-26T16:29:00,2026-10-26T19:27:00,0,0,178,262.0,USD,1.0,262.0,98be4f33976a4b6b
2026-09-26T14:58:45.117379+00:00,serpapi,SJU,MIA,2026-10-26,2026-11-02,1,WN,Southwest,3859,2026-10-26T06:30:00,2026-10-26T15:30:00,2,0,540,319.0,USD,1.0,319.0,9ec5f15d94f6aa91
2026-09-26T14:58:45.117379+00:00,serpapi,SJU,MIA,2026-10-26,2026-11-02,1,DL,Delta,1946,2026-10-26T17:59:00,2026-10-27T00:53:00,1,0,414,860.0,USD,1.0,860.0,b1b998446aae4321
2026-09-26T14:58:45.117379+00:00,serpapi,SJU,MIA,2026-10-26,2026-11-02,1,AA,American,1852,2026-10-26T10:36:00,2026-10-26T13:26:00,0,0,170,262.0,USD,1.0,262.0,ed36a6511aa02348
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,AA,American,1586,2026-10-26T18:25:00,2026-10-26T21:30:00,0,0,185,239.0,USD,1.0,239.0,004fb680553a19dd
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,AA,American,944,2026-10-26T21:55:00,2026-10-27T00:58:00,0,0,183,279.0,USD,1.0,279.0,0bc9093189545672
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,DL,Delta,1810,2026-10-26T11:47:00,2026-10-26T14:49:00,0,0,182,239.0,USD,1.0,239.0,142312f793f7ad39
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,AA,American,2062,2026-10-26T10:25:00,2026-10-26T13:29:00,0,0,184,279.0,USD,1.0,279.0,204c9877af419d78
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,AA,American,1357,2026-10-26T19:50:00,2026-10-26T22:56:00,0,0,186,239.0,USD,1.0,239.0,2618b24527a221fe
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,AA,American,2899,2026-10-26T14:28:00,2026-10-26T17:30:00,0,0,182,329.0,USD,1.0,329.0,34d2b72bda17005a
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,DL,Delta,1811,2026-10-26T19:50:00,2026-10-26T23:01:00,0,0,191,239.0,USD,1.0,239.0,34d6b01379b09b26
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,DL,Delta,1514,2026-10-26T15:30:00,2026-10-26T18:45:00,0,0,195,239.0,USD,1.0,239.0,3fcd9edeb58c6290
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,AA,American,1792,2026-10-26T20:10:00,2026-10-27T15:44:00,1,0,1174,17346.0,USD,1.0,17346.0,51095c4d237b76a5
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,AA,American,525,2026-10-26T06:42:00,2026-10-26T09:43:00,0,0,181,239.0,USD,1.0,239.0,9f9c297b42e0ddbd
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,AA,American,2341,2026-10-26T08:46:00,2026-10-26T11:44:00,0,0,178,239.0,USD,1.0,239.0,cf97b5500d474077
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,DL,Delta,2428,2026-10-26T07:16:00,2026-10-26T10:15:00,0,0,179,239.0,USD,1.0,239.0,d1c7c6f6ecb32926
2026-09-26T14:58:53.018201+00:00,serpapi,MIA,JFK,2026-10-26,2026-11-02,1,AA,American,1748,2026-10-26T09:30:00,2026-10-26T22:59:00,1,0,809,17406.0,USD,1.0,17406.0,dc0240abb1d0820f
